Team,record,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,NCSOSEM
Houston 1,31-3,28.82,118.4,89.6,63.3,0.025,4.21,107.3,103.1,0.63
UCLA 2,29-5,27.63,114.9,87.2,66.3,-0.001,9,109.7,100.7,0.72
Alabama 1,29-5,27.54,116.1,88.6,72.7,0.074,11.66,110.9,99.2,10.56
Connecticut 4,25-8,25.37,119.4,94.1,66.7,-0.061,8.51,109.1,100.6,-1.39
Tennessee 4,23-10,24.71,112.7,88,65.5,-0.071,8.77,109.5,100.7,3.16
Texas 2,26-8,24.57,116.6,92,69.1,0.02,12.11,111,98.9,-0.66
Purdue 1,29-5,24.55,119.4,94.8,64.4,0.032,9.84,110.4,100.6,0.95
Gonzaga 3,28-5,24.31,124,99.7,70.1,0.047,7.49,110.2,102.7,8.31
Kansas 1,27-7,23.14,114.6,91.5,69.3,0.106,14.26,111.7,97.5,6.82
Arizona 2,28-6,22.86,120,97.1,72.3,0.041,8.83,107.9,99.1,3.47
Saint Mary's 5,26-7,21.9,113.5,91.6,61.7,0.004,6.38,110.2,103.8,4.61
Marquette 2,28-6,21.83,119.3,97.5,68.4,0.014,8.67,109.5,100.9,-1.14
Creighton 6,21-12,20.65,114.6,94,68,-0.074,10.34,110.9,100.5,6.44
San Diego St. 5,27-6,20.25,111.9,91.7,66,0.047,8.96,110.4,101.4,7.47
Baylor 3,22-10,19.98,121.9,101.9,66.6,0.032,12.93,110.8,97.9,1.92
Xavier 3,25-9,19.69,119.3,99.6,70.4,-0.004,9.78,110.3,100.5,3.89
West Virginia 9,19-14,19.14,117.1,98,68.9,-0.054,12.74,111,98.2,2.26
Utah St. 10,26-8,18.88,117.8,98.9,68.8,0.008,7.68,108.8,101.1,3.52
Memphis 8,26-8,18.69,114.7,96,71.8,-0.037,7.22,108.5,101.3,6.59
Arkansas 8,20-13,18.63,112.6,94,69.7,-0.072,9.9,109.9,100,3.73
Duke 5,26-8,18.49,113.2,94.8,65.3,0.059,6.78,109.8,103,2.07
Maryland 8,21-12,18.37,114.1,95.8,64.6,-0.039,8.01,109.3,101.3,-3.92
Iowa St. 6,19-13,18.33,109.9,91.6,64.3,-0.034,12.88,112.4,99.5,-1.29
Kansas St. 3,23-9,18.31,112.5,94.2,70.2,0.036,10.4,109.3,98.9,-2.59
Texas A&M 7,25-9,18.28,114.5,96.2,66.2,0.042,7.83,108.8,100.9,-2.46
Florida Atlantic 9,31-3,18.23,114.3,96,68.4,0.053,0.41,105.6,105.1,-2.52
TCU 6,21-12,18.06,112.4,94.3,69.8,-0.034,10.7,109.8,99.1,-7.05
Kentucky 6,21-11,17.8,117.4,99.6,66,-0.014,8.65,109.4,100.7,0.8
Auburn 9,20-12,17.45,112.7,95.2,67.6,-0.029,9.73,109.5,99.7,3.89
Indiana 4,22-11,17.36,114.7,97.3,68.1,0.022,10.59,110.7,100.1,-3.4
Boise St. 10,24-9,17.13,111,93.8,66.5,0.013,7.6,109.5,101.9,1.37
Michigan St. 7,19-12,16.71,113.4,96.7,64.9,0.015,12.27,112.3,100,5.71
Illinois 9,20-12,16.48,112.2,95.7,69.4,-0.045,8.48,109.1,100.6,-6.02
Virginia 4,25-7,16.41,111.2,94.8,61.6,0.045,5.59,108.5,102.9,1.84
USC 10,22-10,15.63,113.1,97.5,68.1,0.018,7.84,107.4,99.5,1.63
Iowa 8,19-13,15.6,120.5,104.9,69.5,-0.042,9.61,108.9,99.3,-2.09
Penn St. 10,22-13,15.04,116.8,101.8,64.6,0.009,9.72,109.6,99.9,-4.72
Miami FL 5,25-7,14.91,118.2,103.3,68.9,0.017,4.75,108,103.2,-2.77
Northwestern 7,21-11,14.83,108.5,93.7,64.9,0.033,8.6,109.5,100.8,-4.22
Nevada 11,22-10,14.79,112,97.2,66.1,0.013,7.7,109.4,101.7,3.81
Providence 11,21-11,14.73,116.8,102.1,66.9,-0.01,6.55,108.3,101.7,-8.98
Mississippi St. 11,21-12,14.12,105.5,91.3,63.8,0.008,7.59,108.6,101,-3.31
Missouri 7,24-9,13.92,119.3,105.4,69.1,0.11,7.73,108.1,100.4,-4.68
N.C. State 11,23-10,13.31,113.9,100.6,69.1,0.03,4.81,108.6,103.8,-4.91
Oral Roberts 12,30-4,13.25,115.3,102,70.5,0.103,-3.96,104.2,108.1,8.1
VCU 12,27-7,13.15,107.2,94,68,0.017,0.47,105.1,104.7,-1.78
Drake 12,27-7,12.51,109.8,97.3,66.4,0.026,-1.65,104,105.7,-1.72
Arizona St. 11,22-12,12.38,107.6,95.2,68.4,0.069,8.69,108.9,100.3,1.31
Kent St. 13,28-6,11.9,108.3,96.4,68.1,0.019,-1.42,106.3,107.7,3.47
Charleston 12,31-3,11.76,111.4,99.6,71,0.052,-5.71,102.3,108,-1.96
Iona 13,27-7,11.71,110.9,99.1,68.9,-0.006,-3.8,102.6,106.4,4.29
Pittsburgh 11,22-11,11.27,115.1,103.8,67.3,0.03,3.67,108.1,104.4,-2.92
Furman 13,27-7,8.43,114.2,105.8,68.5,0,-4.4,104,108.4,-2.07
Louisiana 13,26-7,8.2,112.2,104,68.4,0.077,-0.27,104.2,104.5,0.26
UC Santa Barbara 14,27-7,6.64,111.3,104.7,65,0.057,-2.38,102.8,105.2,-2.69
Grand Canyon 14,24-11,5.99,112.3,106.3,65.2,0.042,0.99,104.7,103.7,0.09
Montana St. 14,25-9,5.75,105.4,99.6,66.5,0.082,-1.09,106.3,107.4,4.47
Princeton 15,21-8,5.57,109.1,103.5,67.5,0.024,-2.55,103.4,105.9,-4.83
Vermont 15,23-10,5.42,109.8,104.4,64.6,0.051,-3.68,103.4,107,5.86
Colgate 15,26-8,5.29,113,107.7,67.9,0.004,-7.69,100.7,108.4,-1.17
Kennesaw St. 14,26-8,3.64,106.3,102.7,68.5,0.147,-1.52,105.1,106.7,5.05
UNC Asheville 15,27-7,1.51,104.1,102.6,68.5,0.152,-5.3,102.8,108.1,-0.57
Northern Kentucky 16,22-12,0.52,103.3,102.8,62,0.053,-3.89,104.4,108.3,4.21
Texas A&M Corpus Chris 16,23-10,-0.23,107.4,107.6,69.3,0.019,-9.07,101.2,110.2,1.44
Howard 16,22-12,-3.21,103.7,106.9,69,0.096,-6.11,101.4,107.5,0.26
Southeast Missouri St. 16,19-16,-7.21,100.9,108.1,72.5,0.026,-7.61,101.4,109,1.04
Texas Southern 16,14-20,-9.71,96.5,106.2,69.4,0.025,-4.75,100.8,105.5,10.98
Fairleigh Dickinson 16,19-15,-12.25,106.2,118.4,68.8,0.017,-14,96.3,110.3,-7.11
